forget_cluster,geo_L1_forget,n_L1_forget,geo_L2_locality,n_L2_locality,geo_L3_spillover,n_L3_spillover
triplet_001,1.4414819574849076,50,1.1677056970839308,100,1.0739509255283992,450
triplet_011,1.4469995920866157,50,1.105374712024261,100,1.066616476854604,450
triplet_021,1.7064498867351923,50,1.3141846893642515,100,1.1983677532617107,450
triplet_031,2.03014772440744,50,1.3901372770997114,100,1.1915209689996158,450
triplet_041,1.9860768515957707,50,1.4166128472563613,100,1.2036459121505971,450
triplet_051,1.858310533317861,50,1.2889931119590332,100,1.1928566209526166,450
triplet_061,1.811469604534394,50,1.2094945443646177,100,1.1815042398446327,450
triplet_071,2.4380284389697393,50,1.7827526557023763,100,1.2462006907724135,450
triplet_081,1.7267144077229133,50,1.2265746015123065,100,1.180490334200207,450
triplet_091,1.4172160770772324,50,1.1235020191836327,100,1.0667788610340436,450
