forget_cluster,eval_cluster,split,sample_index,layer,log_ppl_ratio
triplet_001,triplet_001,train,0,L1_forget,0.6279990891505275
triplet_001,triplet_001,train,1,L1_forget,0.2518860201798637
triplet_001,triplet_001,train,2,L1_forget,0.37606143871083564
triplet_001,triplet_001,train,3,L1_forget,0.2787614066934015
triplet_001,triplet_001,train,4,L1_forget,0.26220466028552253
triplet_001,triplet_001,train,5,L1_forget,0.24628239570486346
triplet_001,triplet_001,train,6,L1_forget,0.3648382545778932
triplet_001,triplet_001,train,7,L1_forget,0.6738102833040086
triplet_001,triplet_001,train,8,L1_forget,0.5651216518099451
triplet_001,triplet_001,train,9,L1_forget,0.4880062555572996
triplet_001,triplet_001,train,10,L1_forget,0.41055048049144366
triplet_001,triplet_001,train,11,L1_forget,0.4670696418109481
triplet_001,triplet_001,train,12,L1_forget,0.37685142921996606
triplet_001,triplet_001,train,13,L1_forget,0.6835526891661845
triplet_001,triplet_001,train,14,L1_forget,0.5208382230584204
triplet_001,triplet_001,train,15,L1_forget,0.6439038659574154
triplet_001,triplet_001,train,16,L1_forget,0.6223821402964246
triplet_001,triplet_001,train,17,L1_forget,0.7567583650741291
triplet_001,triplet_001,train,18,L1_forget,0.6921800624961706
triplet_001,triplet_001,train,19,L1_forget,0.6644693648586109
triplet_001,triplet_001,train,20,L1_forget,0.39114946302824394
triplet_001,triplet_001,train,21,L1_forget,0.0074696892600099206
triplet_001,triplet_001,train,22,L1_forget,0.10204925435417016
triplet_001,triplet_001,train,23,L1_forget,0.2754693703159495
triplet_001,triplet_001,train,24,L1_forget,0.08144542918282098
triplet_001,triplet_001,train,25,L1_forget,0.15415067982725816
triplet_001,triplet_001,train,26,L1_forget,0.0761814008449244
triplet_001,triplet_001,train,27,L1_forget,0.14035735769492244
triplet_001,triplet_001,train,28,L1_forget,0.054488185284069776
triplet_001,triplet_001,train,29,L1_forget,0.16039503489407095
triplet_001,triplet_001,train,30,L1_forget,0.22568955430968532
triplet_001,triplet_001,train,31,L1_forget,0.15024883690596055
triplet_001,triplet_001,train,32,L1_forget,0.16488269955254492
triplet_001,triplet_001,train,33,L1_forget,0.16716257394995568
triplet_001,triplet_001,train,34,L1_forget,0.12401189804343238
triplet_001,triplet_001,train,35,L1_forget,0.2132269142375636
triplet_001,triplet_001,train,36,L1_forget,0.09482391672642333
triplet_001,triplet_001,train,37,L1_forget,0.09396579241833151
triplet_001,triplet_001,train,38,L1_forget,0.2761021250208216
triplet_001,triplet_001,train,39,L1_forget,0.04962976766758666
triplet_001,triplet_001,train,40,L1_forget,0.6551775473708654
triplet_001,triplet_001,train,41,L1_forget,0.7457051953861995
triplet_001,triplet_001,train,42,L1_forget,0.35405033550411175
triplet_001,triplet_001,train,43,L1_forget,0.5935363490302719
triplet_001,triplet_001,train,44,L1_forget,0.29018122177025585
triplet_001,triplet_001,train,45,L1_forget,0.6101869818188723
triplet_001,triplet_001,train,46,L1_forget,0.41577931112492844
triplet_001,triplet_001,train,47,L1_forget,0.5804452580437512
triplet_001,triplet_001,train,48,L1_forget,0.6321027514670464
triplet_001,triplet_001,train,49,L1_forget,0.4299934631423191
triplet_001,triplet_001,validation,0,L2_locality,0.12660845210193789
triplet_001,triplet_001,validation,1,L2_locality,0.2117494040931658
triplet_001,triplet_001,validation,2,L2_locality,0.10008345855698263
triplet_001,triplet_001,validation,3,L2_locality,0.11177877071168828
triplet_001,triplet_001,validation,4,L2_locality,0.11314852135732212
triplet_001,triplet_001,validation,5,L2_locality,0.07159606296782726
triplet_001,triplet_001,validation,6,L2_locality,0.1218398363519979
triplet_001,triplet_001,validation,7,L2_locality,0.06038051098890748
triplet_001,triplet_001,validation,8,L2_locality,0.23792925161657819
triplet_001,triplet_001,validation,9,L2_locality,0.21130909366720696
triplet_001,triplet_001,validation,10,L2_locality,0.26731476962734735
triplet_001,triplet_001,validation,11,L2_locality,0.16379505026434954
triplet_001,triplet_001,validation,12,L2_locality,0.36874086827370306
triplet_001,triplet_001,validation,13,L2_locality,0.16384380903291793
triplet_001,triplet_001,validation,14,L2_locality,0.15118736348822487
triplet_001,triplet_001,validation,15,L2_locality,0.3677904119961774
triplet_001,triplet_001,validation,16,L2_locality,0.1468961469231378
triplet_001,triplet_001,validation,17,L2_locality,0.21065899465196433
triplet_001,triplet_001,validation,18,L2_locality,0.07672607084200572
triplet_001,triplet_001,validation,19,L2_locality,0.11090069603344174
triplet_001,triplet_001,validation,20,L2_locality,0.18752143851370667
triplet_001,triplet_001,validation,21,L2_locality,0.1375256387968782
triplet_001,triplet_001,validation,22,L2_locality,0.16037502458349437
triplet_001,triplet_001,validation,23,L2_locality,0.13540463700620298
triplet_001,triplet_001,validation,24,L2_locality,0.16434931438952433
