forget_cluster,geo_L1_forget,n_L1_forget,geo_L2_locality,n_L2_locality,geo_L3_spillover,n_L3_spillover
triplet_001,2.271908054671672,50,1.4308140979862107,100,1.2015121723493087,4950
triplet_002,1.8044180211013676,50,1.4411719046511693,100,1.1927183487958488,4950
triplet_003,2.337722633757155,50,1.5204351613608686,100,1.2040944548660615,4950
triplet_004,2.380962347162501,50,1.4660940252345542,100,1.2014753588302656,4950
triplet_005,2.173250793437083,50,1.464649955847928,100,1.2045860193270335,4950
triplet_006,2.292355836223869,50,1.48587069854673,100,1.197305140238083,4950
triplet_007,2.258781600931649,50,1.4547736465375767,100,1.1855086792214802,4950
triplet_008,2.337552716555651,50,1.467073716430929,100,1.2078472697199933,4950
triplet_009,2.175963950939645,50,1.424452491642409,100,1.192431843211426,4950
triplet_010,2.2110106886732384,50,1.537203678043649,100,1.2131089396211878,4950
triplet_011,2.009198463070343,50,1.2457442643670869,100,1.164667768123181,4950
triplet_012,2.0285608623280167,50,1.244303112074017,100,1.1896352065407159,4950
triplet_013,2.0051507486321927,50,1.304941677200324,100,1.2004368184981695,4950
triplet_014,1.932516545837967,50,1.2862493546825835,100,1.1915799158445328,4950
triplet_015,1.9422436906487344,50,1.2480153213552174,100,1.1905974006851392,4950
triplet_016,1.9968256364545571,50,1.2688456673320858,100,1.1963197199538609,4950
triplet_017,2.156835284445612,50,1.2501834904621765,100,1.1651566377110736,4950
triplet_018,2.0218059044021417,50,1.2653617923069644,100,1.2076046012151347,4950
triplet_019,2.0009407331365106,50,1.2864679063413222,100,1.198143027500275,4950
triplet_020,1.9546589246764898,50,1.2208765401042163,100,1.15363727380289,4950
triplet_021,1.766561972545539,50,1.2975824796216104,100,1.2019574712762584,4950
triplet_022,1.6361734843141116,50,1.266979461197138,100,1.1879211449018414,4950
triplet_023,1.9476812337736358,50,1.3523925793398106,100,1.2289008685632563,4950
triplet_024,1.8855547284246037,50,1.363282038079157,100,1.2480255776927378,4950
triplet_025,1.6816979527061378,50,1.3164246058971785,100,1.1947114568921946,4950
triplet_026,1.726076720157061,50,1.2911842592266878,100,1.1954064129324748,4950
triplet_027,1.985529368229304,50,1.33310754348207,100,1.2279836287262071,4950
triplet_028,1.7906180318291243,50,1.3020209023211784,100,1.2231913611632916,4950
triplet_029,1.537495237946788,50,1.238992476902756,100,1.1649948390885647,4950
